FASTA_NAME	Gs(U)_NO_ALA_N2	Gs(U)_NO_AHR_N2	Gs(U)_NO_AHR_Ar	Gs(U)_NO_AHR_K	Gs(U)_NO_AHR_SI50	Gs(U)_NO_PRT_N2	Gs(U)_NO_PRT_Ar	Gs(U)_NO_PRT_K	Gs(U)_NO_PRT_SI50	Mw_NO_ALA_N2	Mw_NO_AHR_N2	Mw_NO_AHR_Ar	Mw_NO_AHR_K	Mw_NO_AHR_SI50	Mw_NO_PRT_N2	Mw_NO_PRT_Ar	Mw_NO_PRT_K	Mw_NO_PRT_SI50
seq142	788.03	6,337.03	-94.45	4,285.26	0.35	9,058.45	-41.18	21,026.05	0.50	301.23	1,200.10	114.61	6,904.30	0.30	1,772.28	111.68	25,647.62	0.43
seq143	1,286.85	11,296.10	-171.32	44,296.65	0.31	15,970.89	-118.33	285,195.95	0.41	491.90	2,124.44	115.53	64,823.08	0.24	3,317.02	111.09	263,244.51	0.36
seq144	809.62	6,902.25	-434.50	8,871.01	0.31	8,355.80	-304.52	14,674.76	0.47	309.48	1,293.95	118.20	9,926.62	0.21	1,739.98	115.57	15,705.80	0.41
seq145	454.97	4,323.91	-274.60	1,097.37	0.43	5,724.93	-75.83	3,442.03	0.58	173.91	791.06	117.64	1,485.27	0.28	1,136.63	114.85	3,099.50	0.49
seq146	694.98	6,267.90	-126.61	4,006.92	0.38	8,219.10	-65.71	13,209.84	0.52	265.66	1,184.56	116.76	6,580.24	0.30	1,639.98	114.53	14,994.30	0.44
seq147	765.83	5,701.10	-154.04	2,984.12	0.39	8,776.52	-113.18	26,972.96	0.49	292.74	1,072.40	113.44	4,482.12	0.32	1,846.29	113.66	19,392.15	0.45
seq148	587.36	5,637.41	-201.65	2,988.86	0.38	7,931.41	-109.03	15,369.97	0.52	224.52	1,052.57	117.59	4,190.51	0.29	1,695.02	115.57	12,476.53	0.47
seq149	1,232.06	9,950.21	29.71	22,728.99	0.31	14,425.63	-130.67	209,966.08	0.39	470.96	1,943.24	112.73	43,608.58	0.27	2,972.32	108.94	209,371.22	0.37
seq150	1,034.16	6,310.47	34.08	3,848.79	0.36	9,551.07	-107.75	66,410.17	0.43	395.31	1,232.29	108.24	7,615.41	0.30	2,096.81	105.69	58,735.87	0.41
seq151	928.70	7,880.41	-99.83	10,848.29	0.35	11,246.23	-112.25	114,094.94	0.42	355.00	1,558.34	116.73	19,465.96	0.28	2,497.98	107.95	105,912.88	0.40
seq152	1,067.00	7,090.34	-97.88	7,344.79	0.35	10,861.22	-119.54	53,123.94	0.46	407.86	1,378.07	111.99	11,626.68	0.30	2,203.52	113.03	48,522.59	0.42
seq153	947.09	6,424.99	-174.22	5,744.34	0.36	9,311.56	-142.87	38,081.46	0.46	362.03	1,255.68	113.60	8,004.62	0.30	1,977.91	109.08	42,455.34	0.43
seq154	947.09	7,098.01	-98.40	7,480.13	0.36	9,627.63	-93.25	48,563.24	0.47	362.03	1,389.45	114.11	12,125.12	0.30	2,117.28	111.81	33,650.73	0.43
seq155	1,017.34	6,600.58	66.82	4,206.50	0.34	8,993.77	-45.37	45,620.20	0.45	388.88	1,282.31	109.33	8,651.77	0.30	1,956.85	107.07	41,781.21	0.43
seq156	928.70	9,851.65	-218.48	26,782.81	0.32	13,488.97	-148.51	134,455.86	0.43	355.00	1,839.98	118.11	36,516.78	0.24	2,814.32	113.72	109,101.32	0.38
seq157	1,339.39	6,777.17	-66.42	7,073.65	0.35	9,992.18	-96.97	61,586.05	0.46	511.99	1,388.79	106.97	11,490.05	0.30	2,237.91	108.21	63,016.35	0.43
seq158	1,326.45	6,340.98	-15.27	5,403.11	0.35	8,929.95	-91.97	63,289.41	0.44	507.04	1,346.32	106.95	9,758.38	0.31	2,131.65	106.14	55,226.11	0.43
seq159	871.20	5,152.82	-49.75	2,293.05	0.41	7,247.39	-76.98	16,208.07	0.51	333.02	1,050.58	108.79	3,916.56	0.36	1,536.92	105.74	18,707.57	0.47
seq160	719.37	4,891.09	-179.85	2,190.01	0.40	7,977.44	-109.37	18,899.84	0.52	274.98	970.90	113.59	2,927.40	0.35	1,735.01	114.58	15,488.31	0.48
seq161	719.37	6,622.54	-219.11	6,027.22	0.36	9,024.67	-75.72	22,673.95	0.50	274.98	1,262.77	118.18	8,451.80	0.28	1,871.07	118.73	14,554.87	0.43
seq162	851.17	6,274.20	-112.80	4,810.40	0.36	9,260.66	-111.66	28,881.81	0.49	325.36	1,225.47	114.18	7,462.46	0.29	1,944.85	115.21	26,112.00	0.45
seq163	909.94	5,645.67	-56.21	2,954.21	0.38	7,929.02	-14.40	15,706.56	0.51	347.83	1,108.34	110.56	5,073.47	0.30	1,596.09	108.58	19,683.83	0.45
seq164	765.83	4,368.92	27.27	1,020.76	0.39	6,760.15	-42.06	11,403.06	0.53	292.74	866.91	108.26	1,873.60	0.36	1,442.28	108.00	10,819.63	0.49
seq165	1,313.38	11,343.69	-236.51	49,355.68	0.28	16,368.03	-106.95	222,884.13	0.41	502.05	2,115.98	116.45	66,649.10	0.21	3,310.97	115.80	205,927.72	0.36
seq166	1,364.91	11,080.32	-215.14	44,384.52	0.29	16,341.05	-114.15	221,700.56	0.41	521.74	2,073.43	115.40	60,965.29	0.22	3,321.15	115.69	216,244.12	0.37
seq167	1,232.06	11,519.46	-244.39	52,367.82	0.28	16,412.45	-101.62	227,299.57	0.41	470.96	2,146.58	117.60	70,285.55	0.21	3,325.87	116.12	202,100.35	0.36
seq168	669.70	5,257.18	-41.08	1,856.97	0.41	8,153.08	-21.18	18,849.40	0.51	255.99	1,009.49	114.57	3,482.53	0.34	1,677.47	112.15	17,695.90	0.46
seq169	2,297.48	19,019.41	-37.03	404,652.60	0.26	27,485.01	-53.28	90,815,889.55	0.35	878.22	3,924.08	113.37	685,347.01	0.23	5,994.86	109.81	85,974,619.76	0.32
seq170	1,017.34	7,794.17	-113.05	11,338.05	0.35	11,029.14	-127.91	105,043.76	0.44	388.88	1,558.75	115.77	18,639.40	0.30	2,550.10	112.20	71,840.66	0.42
seq171	1,129.81	8,004.98	74.98	8,307.86	0.31	10,520.16	-36.86	45,563.81	0.45	431.88	1,536.20	110.88	17,913.60	0.27	2,146.54	112.66	44,272.88	0.41
seq172	643.42	5,536.30	-339.56	3,336.23	0.40	8,009.65	-144.80	17,526.42	0.52	245.95	1,044.26	117.88	4,125.26	0.29	1,711.16	116.09	12,929.46	0.46
seq173	947.09	7,530.02	-153.40	7,864.91	0.34	11,187.94	-51.90	46,479.08	0.46	362.03	1,380.33	114.21	12,329.48	0.26	2,174.91	112.77	49,750.38	0.39
seq174	1,438.74	10,489.66	-159.65	38,398.85	0.31	14,642.31	-102.77	176,705.75	0.43	549.96	2,046.49	114.20	55,778.97	0.25	3,104.64	113.04	167,445.26	0.38
seq175	1,067.00	5,927.54	-40.30	3,608.63	0.38	8,623.89	-93.02	28,465.57	0.49	407.86	1,175.33	107.30	6,189.87	0.31	1,873.80	110.32	25,321.78	0.45
seq176	557.22	4,690.59	-211.84	1,753.88	0.44	6,528.01	-83.04	6,432.51	0.57	213.00	918.39	116.68	2,438.56	0.36	1,317.20	111.97	7,690.11	0.50
seq177	694.98	5,405.20	-67.71	2,678.79	0.38	8,778.74	-68.62	19,760.91	0.49	265.66	1,083.36	115.56	4,642.98	0.33	1,726.41	111.93	25,157.99	0.45
seq178	719.37	6,709.40	-201.70	6,247.09	0.37	9,468.21	-82.36	33,860.44	0.48	274.98	1,282.35	117.98	9,303.57	0.27	1,996.32	117.00	22,600.81	0.42
seq179	809.62	8,482.83	-248.37	15,691.19	0.30	12,140.07	-101.84	68,173.27	0.45	309.48	1,581.89	119.21	20,958.99	0.23	2,463.91	115.92	61,874.62	0.40
seq180	1,189.32	8,409.41	-165.54	16,259.90	0.34	11,589.87	-108.41	103,127.15	0.42	454.62	1,652.77	114.00	23,880.39	0.27	2,481.61	107.84	124,318.45	0.39
seq181	262.68	2,911.97	-227.01	295.57	0.55	4,428.74	-163.85	1,095.81	0.67	100.41	575.82	121.59	494.12	0.49	877.96	117.02	1,142.30	0.59
seq182	947.09	9,491.69	-210.95	21,356.93	0.32	13,339.75	-81.42	132,367.73	0.43	362.03	1,762.51	118.12	31,649.24	0.25	2,861.00	115.86	99,659.87	0.39
seq183	851.17	7,192.01	-203.25	7,313.36	0.35	10,755.56	-62.33	48,623.53	0.47	325.36	1,345.67	116.58	11,208.24	0.27	2,220.22	115.67	36,934.53	0.41
seq184	525.35	5,511.08	-205.14	2,629.69	0.39	8,493.80	-90.77	20,246.82	0.50	200.82	1,031.01	119.26	3,891.74	0.30	1,761.10	115.32	15,838.22	0.45
seq185	491.42	6,430.81	-139.73	4,085.66	0.36	8,992.89	-82.73	22,185.28	0.50	187.85	1,185.72	119.97	6,322.94	0.28	1,809.60	114.47	20,122.15	0.44
seq186	262.68	4,959.45	-260.89	1,905.90	0.38	6,606.40	-116.39	6,727.52	0.55	100.41	930.84	123.75	2,464.97	0.29	1,351.49	117.18	4,139.48	0.48
seq187	321.71	3,290.40	-139.34	358.28	0.51	3,936.95	-110.86	931.80	0.62	122.98	625.54	119.00	639.05	0.47	776.16	113.13	945.87	0.52
seq188	1,438.74	9,098.78	-81.84	19,309.25	0.33	12,701.64	-105.06	162,092.88	0.42	549.96	1,784.89	111.00	31,602.90	0.28	2,790.47	106.81	172,405.97	0.39
seq189	871.20	9,335.99	-185.19	21,752.42	0.32	12,795.76	-102.14	111,102.40	0.43	333.02	1,769.97	118.83	32,056.30	0.23	2,656.02	112.43	94,419.61	0.37
seq190	1,114.44	5,541.52	56.57	2,771.80	0.36	9,488.08	-91.45	48,338.46	0.45	426.00	1,146.27	105.33	5,314.17	0.34	2,059.16	108.59	45,841.32	0.44
seq191	1,067.00	6,831.27	-57.67	5,854.79	0.35	10,048.18	-80.17	41,484.12	0.46	407.86	1,315.26	110.32	9,883.85	0.28	2,022.95	109.33	49,035.82	0.42
seq192	1,508.96	10,864.59	-66.29	41,494.49	0.32	15,014.02	-64.31	307,480.48	0.40	576.81	2,200.49	113.71	73,662.55	0.27	3,266.95	106.75	311,183.18	0.37
seq193	669.70	4,632.60	-126.23	1,377.12	0.42	6,702.47	-52.25	7,233.14	0.54	255.99	878.84	112.10	2,152.81	0.39	1,367.29	113.24	7,542.15	0.49
seq194	669.70	6,150.94	-210.33	4,531.88	0.39	7,688.02	-94.99	14,464.39	0.51	255.99	1,186.12	118.19	6,921.25	0.28	1,596.74	111.12	14,205.84	0.44
seq195	765.83	7,598.36	-110.99	8,586.26	0.34	10,480.24	-102.38	42,265.84	0.48	292.74	1,441.82	117.82	13,498.73	0.28	2,149.56	117.01	35,825.13	0.43
seq196	1,098.85	9,469.34	-185.66	27,784.68	0.33	13,006.82	-116.20	132,614.24	0.44	420.04	1,902.36	117.40	41,726.43	0.26	2,820.64	112.51	116,461.28	0.39
seq197	454.97	6,106.67	-247.23	3,716.15	0.38	7,911.48	-138.32	12,114.23	0.51	173.91	1,115.42	120.74	5,548.15	0.31	1,574.71	115.12	10,006.70	0.42
seq198	809.62	5,295.59	-122.58	2,553.84	0.41	7,415.45	-74.65	13,516.26	0.53	309.48	1,048.59	112.60	4,066.11	0.33	1,548.08	112.01	13,420.56	0.48
seq199	1,217.98	10,571.79	-122.91	34,728.02	0.31	14,770.77	-113.17	263,714.53	0.40	465.58	2,033.40	116.06	55,231.13	0.24	3,130.42	110.31	218,744.88	0.37
seq200	719.37	5,359.05	41.34	1,951.05	0.41	7,538.22	-65.67	15,965.21	0.52	274.98	1,056.97	112.67	4,130.19	0.35	1,612.75	111.88	13,224.09	0.48
seq201	669.70	5,508.26	-216.50	3,081.28	0.39	7,517.99	-187.25	7,739.67	0.54	255.99	1,063.53	116.97	4,396.40	0.30	1,492.07	118.51	8,241.70	0.46
seq202	851.17	6,261.27	-150.18	5,301.75	0.38	9,287.67	-120.88	25,038.10	0.50	325.36	1,252.32	115.15	8,168.77	0.31	1,914.85	116.28	24,103.50	0.44
seq203	2,051.57	13,555.22	-86.61	97,054.92	0.28	20,586.84	-83.87	-713,263.30	0.38	784.22	2,658.62	111.90	159,462.93	0.23	4,162.10	111.11	-821,059.84	0.34
seq204	1,017.34	6,330.85	-22.79	4,363.64	0.37	8,533.77	-77.05	55,325.58	0.45	388.88	1,255.34	110.66	8,105.46	0.31	2,061.82	105.94	41,107.40	0.43
seq205	742.96	5,419.14	-30.19	2,124.74	0.40	8,260.49	-101.05	14,629.56	0.52	284.00	1,041.31	112.85	3,958.17	0.33	1,615.17	112.55	16,514.94	0.46
seq206	947.09	6,580.93	-63.14	5,127.88	0.34	10,079.23	-44.78	47,088.98	0.46	362.03	1,263.96	112.16	8,410.05	0.28	2,082.55	108.17	54,161.64	0.42
seq207	491.42	5,395.02	-231.96	2,522.56	0.40	7,968.92	-107.30	13,019.52	0.52	187.85	1,004.61	117.83	3,324.81	0.33	1,593.81	112.61	13,426.56	0.46
seq208	491.42	5,875.09	-165.50	3,214.16	0.40	7,177.77	-163.01	8,588.15	0.54	187.85	1,103.17	119.18	4,768.10	0.31	1,482.27	115.32	8,310.48	0.46
seq209	1,050.70	7,713.62	-83.41	10,497.59	0.32	11,267.39	-49.05	63,835.73	0.46	401.64	1,512.76	113.85	16,423.98	0.29	2,335.35	112.73	60,817.11	0.42
seq210	890.78	7,717.52	-137.63	10,086.19	0.35	10,498.89	-60.29	52,696.18	0.47	340.50	1,493.45	117.04	16,290.19	0.28	2,179.77	111.67	49,008.63	0.41
seq211	851.17	4,923.16	-209.35	2,480.12	0.37	7,671.39	-163.81	12,981.64	0.51	325.36	983.82	110.71	3,149.70	0.28	1,579.33	110.58	14,043.11	0.47
seq212	643.42	6,325.79	-164.85	4,312.13	0.36	8,517.91	-91.30	15,027.34	0.50	245.95	1,183.18	118.02	6,845.45	0.27	1,719.44	118.78	13,994.12	0.44
seq213	1,017.34	7,329.81	-163.07	10,221.37	0.35	11,076.02	-159.37	72,081.47	0.45	388.88	1,467.89	114.95	15,183.05	0.28	2,371.37	112.40	62,645.24	0.41
seq214	890.78	5,772.50	-5.60	3,056.84	0.37	8,597.97	-47.23	21,278.80	0.50	340.50	1,154.20	111.86	5,754.36	0.32	1,737.36	110.23	24,745.78	0.46
seq215	557.22	4,357.87	-56.97	1,008.93	0.46	5,891.83	-43.18	5,586.16	0.58	213.00	841.28	113.62	1,756.75	0.37	1,240.43	114.14	3,738.47	0.51
seq216	1,114.44	6,757.95	-27.27	6,253.06	0.35	9,557.70	-77.12	65,155.94	0.44	426.00	1,356.73	109.77	11,048.90	0.30	2,154.65	107.30	59,338.43	0.42
seq217	694.98	4,601.41	-98.55	1,235.37	0.43	6,577.87	-73.67	10,652.58	0.53	265.66	877.08	111.66	2,016.23	0.36	1,441.77	111.05	8,019.95	0.50
seq218	1,894.18	14,614.15	-122.91	133,821.83	0.27	21,265.04	-65.07	-1,821,599.07	0.38	724.06	2,854.44	115.07	209,320.88	0.23	4,408.21	112.82	-1,839,015.18	0.34
seq219	928.70	7,344.20	-132.95	9,268.14	0.38	10,440.37	-115.22	59,613.90	0.47	355.00	1,465.03	114.98	14,627.60	0.31	2,252.40	110.40	55,870.51	0.42
seq220	1,554.01	10,604.14	-125.61	42,064.68	0.31	15,427.13	-102.34	361,631.40	0.40	594.03	2,125.91	113.14	63,635.75	0.26	3,390.63	108.12	346,580.06	0.37
seq221	742.96	4,974.13	-40.21	1,826.41	0.39	7,518.86	-142.27	10,343.04	0.52	284.00	984.56	112.14	3,191.78	0.33	1,523.00	115.39	10,261.08	0.48
seq222	1,000.24	9,258.82	-143.00	24,648.22	0.34	13,664.26	-112.07	207,439.84	0.42	382.35	1,879.54	118.03	39,034.98	0.28	3,016.95	112.77	152,015.61	0.39
seq223	1,520.35	10,356.08	-85.04	32,910.48	0.30	15,534.43	-81.19	198,481.27	0.42	581.16	2,028.05	112.68	54,683.90	0.24	3,152.19	113.78	200,188.22	0.37
seq224	719.37	6,021.89	-125.40	4,163.33	0.38	8,675.99	-87.99	26,146.33	0.50	274.98	1,193.54	116.96	6,806.27	0.31	1,810.65	113.00	22,388.19	0.44
seq225	587.36	4,571.34	-77.98	1,478.56	0.43	6,622.88	-118.31	6,962.01	0.56	224.52	917.96	114.65	2,382.03	0.37	1,343.36	112.59	8,108.66	0.49
seq226	694.98	3,816.68	-206.93	797.24	0.41	5,381.07	-107.21	3,184.95	0.55	265.66	729.22	108.07	1,027.53	0.39	1,068.90	106.84	4,949.40	0.54
seq227	525.35	4,901.02	-72.83	1,511.07	0.44	6,952.56	-64.72	8,861.85	0.55	200.82	950.86	117.28	2,808.19	0.36	1,407.24	112.72	8,758.55	0.48
seq228	1,050.70	6,811.02	-81.58	6,129.40	0.35	10,499.97	-110.11	34,033.60	0.47	401.64	1,311.02	110.41	9,838.19	0.28	2,027.58	113.49	39,211.47	0.42
seq229	694.98	3,901.38	-238.01	806.73	0.42	5,371.45	-113.35	2,586.67	0.57	265.66	728.16	107.93	1,026.36	0.36	1,043.74	106.63	4,088.19	0.52
seq230	1,114.44	8,288.56	-263.82	18,882.77	0.33	11,122.63	-178.66	108,380.45	0.43	426.00	1,663.61	116.65	24,739.65	0.26	2,560.04	110.13	90,599.25	0.40
seq231	616.03	6,162.91	-166.32	3,995.29	0.37	9,173.22	-104.69	21,876.98	0.50	235.48	1,163.63	118.53	6,135.85	0.29	1,876.61	116.19	19,005.90	0.44
seq232	1,000.24	6,064.74	-7.90	3,673.86	0.35	9,465.24	-56.74	32,026.42	0.48	382.35	1,188.84	109.27	6,460.66	0.30	1,931.01	110.86	32,715.21	0.43
seq233	1,497.48	13,729.23	-149.65	86,742.59	0.28	18,500.57	-77.63	536,672.75	0.39	572.42	2,553.24	116.47	134,752.23	0.22	3,933.96	113.36	389,927.29	0.35
seq234	643.42	8,258.13	-274.76	12,057.75	0.33	11,481.45	-108.69	61,780.26	0.45	245.95	1,490.39	120.19	16,497.02	0.23	2,365.46	116.54	38,681.84	0.39
seq235	1,389.95	6,451.10	-80.18	6,521.98	0.34	9,293.26	-115.60	56,798.31	0.44	531.32	1,349.93	105.37	9,922.00	0.30	2,127.67	102.77	50,326.46	0.41
seq236	851.17	7,967.24	-147.33	13,372.09	0.35	11,045.29	-101.41	87,375.30	0.45	325.36	1,593.03	117.78	19,377.83	0.30	2,485.77	112.00	68,657.34	0.42
seq237	1,083.04	7,083.25	-53.67	7,567.24	0.35	10,072.00	-94.37	48,498.92	0.47	414.00	1,411.98	111.40	12,461.66	0.30	2,160.63	112.23	41,185.83	0.43
seq238	1,232.06	8,692.16	14.58	13,108.76	0.33	12,222.13	-49.55	161,804.58	0.42	470.96	1,680.72	110.47	25,231.80	0.28	2,713.16	107.52	140,453.29	0.39
seq239	1,810.37	11,175.86	51.23	36,963.11	0.28	16,348.58	-48.70	356,102.11	0.39	692.02	2,212.49	109.56	73,610.97	0.25	3,496.37	109.94	336,731.01	0.37
seq240	694.98	4,687.65	-292.98	1,559.06	0.39	6,350.63	-163.91	6,447.87	0.54	265.66	865.04	112.91	1,976.99	0.31	1,274.64	110.08	7,164.02	0.49
seq241	643.42	4,751.35	-319.94	1,616.47	0.39	6,317.95	-166.73	6,560.54	0.53	245.95	868.68	114.71	2,039.53	0.30	1,274.54	110.22	7,032.50	0.49
seq242	643.42	4,680.29	-310.71	1,537.15	0.40	6,364.46	-166.99	6,758.67	0.53	245.95	859.19	114.46	1,950.65	0.31	1,277.78	110.44	7,007.95	0.49
seq243	616.03	4,604.39	-310.48	1,449.20	0.40	6,372.83	-172.05	6,680.05	0.54	235.48	846.63	115.04	1,850.61	0.31	1,281.75	110.79	7,125.32	0.49
seq244	587.36	4,711.94	-335.00	1,601.18	0.40	6,454.38	-140.15	7,050.98	0.52	224.52	863.00	116.38	2,013.66	0.30	1,290.61	111.28	7,082.64	0.48
seq245	1,083.04	6,251.40	-0.40	4,525.50	0.35	10,175.86	-62.86	46,694.23	0.46	414.00	1,265.29	109.21	8,460.24	0.29	2,133.89	112.01	45,150.45	0.43
seq246	454.97	4,428.88	-165.75	1,362.55	0.45	6,456.06	-74.81	6,250.27	0.56	173.91	885.32	119.07	2,289.53	0.40	1,326.40	115.20	5,611.71	0.47
seq247	321.71	4,804.09	-363.67	1,609.09	0.42	6,500.26	-206.77	6,379.31	0.53	122.98	875.25	122.96	2,291.98	0.34	1,308.18	113.08	5,416.88	0.46
seq248	454.97	4,333.47	-206.61	1,118.94	0.44	6,518.26	-156.48	6,509.15	0.57	173.91	826.32	118.94	1,704.64	0.35	1,387.06	120.78	4,685.40	0.53
seq249	965.13	7,940.08	-165.09	12,699.61	0.34	11,160.85	-143.62	78,745.28	0.44	368.93	1,539.72	115.20	18,238.55	0.27	2,386.67	111.01	70,300.48	0.40
seq250	1,203.73	7,761.13	-18.99	9,871.85	0.34	10,738.97	-75.70	80,216.77	0.44	460.13	1,545.07	111.15	17,625.96	0.30	2,349.36	109.45	71,226.29	0.42
seq251	694.98	4,719.96	-296.79	1,551.27	0.39	6,344.05	-159.95	6,455.08	0.53	265.66	864.89	112.89	1,974.64	0.31	1,267.50	111.07	6,595.42	0.48
seq252	765.83	6,974.13	-107.80	5,461.47	0.37	10,791.92	-135.68	44,300.20	0.47	292.74	1,294.22	115.98	9,314.21	0.29	2,163.58	116.08	36,279.09	0.43
seq253	1,203.73	9,337.94	-201.07	22,319.12	0.33	12,721.49	-120.16	103,070.89	0.43	460.13	1,759.97	114.21	31,162.41	0.25	2,590.45	107.43	129,431.55	0.38
seq254	1,098.85	7,796.85	-132.25	12,342.30	0.35	10,681.87	-133.40	74,116.82	0.44	420.04	1,548.90	112.87	17,472.65	0.30	2,311.16	108.25	74,153.42	0.41
seq255	1,067.00	8,333.21	-127.95	14,611.46	0.35	12,122.29	-97.49	111,987.47	0.44	407.86	1,642.82	114.78	23,641.62	0.28	2,628.67	111.13	99,672.94	0.40
seq256	1,352.21	13,477.23	-235.88	102,111.24	0.29	18,887.35	-105.89	462,695.88	0.40	516.89	2,578.83	118.76	143,371.42	0.21	3,919.89	114.46	382,008.28	0.35
seq257	1,531.65	10,533.60	-65.78	36,729.06	0.30	15,029.35	-93.70	388,615.51	0.39	585.48	2,094.35	112.31	58,359.65	0.27	3,394.10	107.22	353,490.82	0.36
seq258	851.17	5,707.77	-79.77	3,186.76	0.35	9,185.49	-51.77	20,040.74	0.48	325.36	1,105.13	111.68	5,167.10	0.32	1,769.30	112.41	25,844.92	0.43
seq259	742.96	6,909.86	-245.82	7,696.42	0.37	10,107.33	-140.91	49,851.66	0.46	284.00	1,337.91	118.52	10,825.94	0.28	2,163.89	112.87	37,964.70	0.42
seq260	890.78	7,096.73	-89.90	7,429.25	0.34	10,466.26	-59.95	40,833.24	0.46	340.50	1,380.08	114.73	11,892.46	0.28	2,061.90	110.80	51,129.39	0.41
seq261	909.94	5,495.52	-156.10	2,848.53	0.39	8,445.91	-84.53	28,520.28	0.47	347.83	1,057.13	109.94	4,274.23	0.29	1,781.67	107.30	29,671.69	0.43
seq262	557.22	3,104.49	-107.09	365.29	0.45	4,855.22	-95.62	2,039.86	0.60	213.00	608.96	108.30	531.81	0.43	976.02	111.04	2,685.84	0.53
seq263	1,542.87	12,652.96	-179.47	78,260.98	0.30	16,887.61	-143.02	428,952.48	0.40	589.77	2,455.07	115.51	112,595.26	0.25	3,656.17	109.85	431,868.50	0.36
seq264	788.03	7,911.72	-16.85	7,960.75	0.34	11,616.73	-44.17	68,665.12	0.45	301.23	1,473.24	115.78	15,031.10	0.28	2,343.02	114.55	51,728.62	0.40
seq265	525.35	3,725.18	-115.28	544.07	0.50	4,998.75	-99.91	2,151.01	0.62	200.82	707.47	112.53	965.88	0.43	982.74	113.17	2,332.01	0.54
seq266	587.36	5,625.45	-251.48	3,087.70	0.39	8,291.39	-94.49	13,777.18	0.52	224.52	1,050.46	118.09	4,142.82	0.29	1,626.62	115.51	14,070.71	0.45
seq267	742.96	7,629.45	-187.53	10,213.21	0.36	11,260.86	-94.17	65,369.35	0.47	284.00	1,467.44	118.79	15,019.43	0.28	2,392.41	116.58	46,207.38	0.42
seq268	742.96	5,065.02	-114.28	1,906.82	0.41	8,181.06	-95.49	12,737.30	0.50	284.00	975.60	112.61	3,164.26	0.31	1,559.95	111.22	17,319.72	0.44
seq269	1,159.95	6,554.63	6.04	5,417.60	0.35	10,388.77	-92.08	95,584.31	0.43	443.39	1,348.80	109.62	10,331.95	0.31	2,364.14	107.62	83,858.07	0.42
seq270	788.03	5,661.17	-153.98	3,105.82	0.35	8,705.45	-44.73	20,289.71	0.49	301.23	1,072.36	113.37	4,592.78	0.28	1,744.96	111.56	19,872.01	0.45
seq271	1,034.16	7,152.45	-42.45	7,033.23	0.36	10,892.27	-64.02	48,332.04	0.47	395.31	1,403.24	112.31	12,494.33	0.30	2,171.13	112.40	53,068.85	0.42
seq272	1,402.31	9,837.10	-149.22	27,891.19	0.31	14,361.13	-123.55	149,854.35	0.43	536.04	1,898.34	113.43	42,507.22	0.24	2,983.87	114.55	138,464.78	0.38
seq273	809.62	5,660.73	-49.33	2,935.57	0.39	9,012.71	-64.05	30,129.02	0.49	309.48	1,119.99	113.26	5,133.02	0.34	1,892.68	109.66	32,100.82	0.45
seq274	719.37	5,044.49	-118.47	1,808.92	0.41	7,998.54	-88.10	12,450.69	0.51	274.98	976.43	113.59	3,235.92	0.31	1,549.63	111.04	15,476.55	0.45
seq275	1,520.35	9,724.58	-96.88	26,397.45	0.31	14,492.62	-91.09	158,771.00	0.43	581.16	1,899.62	110.82	41,007.05	0.26	2,950.84	111.97	170,009.39	0.38
seq276	1,671.66	12,227.65	-116.01	62,718.47	0.28	17,066.80	-79.26	282,796.47	0.40	639.00	2,357.02	113.82	100,255.36	0.22	3,451.70	113.34	308,345.17	0.36
seq277	1,098.85	8,336.43	-30.45	12,538.73	0.35	11,960.08	-61.89	91,585.75	0.45	420.04	1,647.31	113.63	23,277.23	0.29	2,489.50	111.19	87,288.68	0.41
seq278	415.33	3,943.43	-262.37	1,068.73	0.47	5,767.29	-161.72	4,638.97	0.59	158.76	800.12	120.49	1,505.16	0.37	1,256.02	117.02	3,985.48	0.54
seq279	1,414.55	9,628.55	-33.96	21,506.90	0.29	13,715.33	-87.78	121,514.83	0.42	540.72	1,846.62	111.56	37,524.91	0.24	2,765.70	111.34	136,302.58	0.38
seq280	643.42	4,375.70	-47.13	1,196.74	0.39	6,201.47	-122.90	4,558.65	0.55	245.95	879.28	113.17	2,042.17	0.35	1,214.77	113.90	6,132.73	0.49
seq281	1,159.95	7,539.20	-32.51	9,516.77	0.34	10,750.47	-113.78	107,426.79	0.43	443.39	1,514.86	111.43	15,990.36	0.31	2,439.40	107.25	96,198.21	0.41
seq282	694.98	5,282.82	30.81	1,828.73	0.36	7,469.56	-58.40	13,177.46	0.51	265.66	1,021.50	113.63	3,557.16	0.33	1,558.68	114.23	10,715.56	0.47
seq283	491.42	6,824.61	-155.01	5,803.07	0.34	9,967.83	-67.40	32,871.76	0.48	187.85	1,282.79	120.77	8,277.22	0.29	1,989.04	114.39	26,764.06	0.42
seq284	557.22	5,953.09	-125.87	3,144.30	0.37	7,550.76	-83.76	15,107.64	0.51	213.00	1,111.25	118.49	5,176.29	0.29	1,607.84	116.06	9,568.97	0.46
seq285	1,800.82	9,899.49	34.32	23,903.14	0.28	14,236.95	-40.27	189,078.88	0.40	688.37	1,964.67	107.52	46,088.41	0.25	2,964.33	106.75	224,785.63	0.38
seq286	788.03	4,731.93	-278.85	1,656.12	0.38	6,180.11	-156.82	7,761.89	0.51	301.23	874.96	109.93	2,038.39	0.28	1,279.12	108.53	7,311.97	0.47
